artist,song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
Kings of Leon,Eyes On You,0.0194,0.244,280693,0.859,0.0279,0,0.117,-4.57,1,0.0423,182.956,4,0.567,0
Kings of Leon,Wild,0.00946,0.517,219427,0.723,0.156,4,0.157,-5.617,1,0.0352,118.031,4,0.293,0
Kings of Leon,WALLS,0.505,0.56,329667,0.32,0.472,8,0.11,-14.34,1,0.0313,82.511,4,0.107,0
Kings of Leon,Supersoaker,0.00319,0.436,230227,0.871,0.000473,9,0.114,-4.446,1,0.0384,138.743,4,0.71,0
Kings of Leon,Rock City,0.00857,0.424,176893,0.708,0.00087,11,0.178,-6.332,0,0.0787,166.3,4,0.682,0
Kings of Leon,Don't Matter,1.13e-05,0.412,170267,0.88,0.00211,2,0.282,-5.122,1,0.0368,154.642,4,0.845,0
Kings of Leon,Beautiful War,0.0496,0.503,309920,0.588,0.0931,9,0.0706,-10.569,1,0.0449,62.302,4,0.367,0
Kings of Leon,Temple,0.00087,0.475,250453,0.644,0.279,9,0.123,-7.782,1,0.0326,149.838,4,0.568,0
Kings of Leon,Wait for Me,0.0263,0.488,210133,0.624,0.00223,9,0.122,-8.357,1,0.0329,116.723,4,0.308,0
Kings of Leon,Family Tree,0.084,0.699,230707,0.762,0.00068,9,0.089,-6.502,1,0.0513,101.815,4,0.79,0
Kings of Leon,Comeback Story,0.0262,0.464,239053,0.738,0.00202,9,0.143,-7.304,1,0.0413,119.764,4,0.369,0
Kings of Leon,Tonight,0.00235,0.326,273173,0.703,0.0169,4,0.115,-6.225,1,0.0338,129.326,4,0.397,0
Kings of Leon,Coming Back Again,0.000307,0.381,208867,0.842,0.053,11,0.175,-5.89,1,0.062,162.481,4,0.414,0
Kings of Leon,On the Chin,0.0509,0.344,256680,0.559,0.0765,7,0.384,-10.434,1,0.0359,138.711,4,0.306,0
Kings of Leon,Work On Me,0.0101,0.534,244480,0.808,0.00187,4,0.291,-6.348,1,0.0402,78.161,4,0.475,0
Kings of Leon,Last Mile Home,0.00208,0.453,251200,0.642,0.353,9,0.139,-8.128,1,0.0309,121.214,4,0.416,0
Kings of Leon,The End,0.0014,0.332,264013,0.586,0.0108,3,0.063,-6.307,0,0.0362,79.787,4,0.228,0
Kings of Leon,Radioactive,0.00877,0.408,206187,0.925,0.000454,5,0.12,-4.88,1,0.0533,126.405,4,0.361,0
Kings of Leon,Pyro,0.00757,0.365,250533,0.606,0.052,1,0.103,-7.174,0,0.0415,114.995,4,0.191,0
Kings of Leon,Mary,0.000318,0.267,205373,0.893,0.00268,4,0.328,-3.881,1,0.0771,79.544,4,0.272,0
Kings of Leon,The Face,0.00594,0.401,208187,0.698,0.082,9,0.077,-5.0,1,0.0376,143.421,4,0.321,0
Kings of Leon,The Immortals,0.00484,0.347,208933,0.832,1.68e-05,4,0.103,-4.811,1,0.0807,126.693,4,0.384,0
Kings of Leon,Back Down South,0.0634,0.476,241227,0.619,0.00075,0,0.258,-7.221,1,0.0398,117.113,4,0.154,0
Kings of Leon,Beach Side,0.0428,0.488,170960,0.749,0.000845,1,0.105,-5.73,0,0.03,170.69,4,0.48,0
Kings of Leon,No Money,0.0013,0.413,185880,0.933,0.0153,1,0.0953,-5.208,0,0.0581,76.999,4,0.267,0
Kings of Leon,Pony Up,0.000808,0.309,184627,0.879,0.115,11,0.0719,-5.296,0,0.0594,79.171,5,0.735,0
Kings of Leon,Birthday,0.00568,0.573,195427,0.729,0.00728,11,0.396,-6.217,0,0.0415,119.232,4,0.665,0
Kings of Leon,Mi Amigo,0.0818,0.587,246800,0.625,0.0146,2,0.147,-8.322,1,0.0356,71.391,4,0.593,0
Kings of Leon,Pickup Truck,0.351,0.459,284600,0.624,6.75e-05,0,0.111,-6.462,1,0.0488,154.703,4,0.352,0
Kings of Leon,The End,0.0014,0.332,264013,0.586,0.0108,3,0.063,-6.307,0,0.0362,79.787,4,0.228,0
Kings of Leon,Radioactive,0.00877,0.408,206187,0.925,0.000454,5,0.12,-4.88,1,0.0533,126.405,4,0.361,0
Kings of Leon,Pyro,0.00757,0.365,250533,0.606,0.052,1,0.103,-7.174,0,0.0415,114.995,4,0.191,0
Kings of Leon,Mary,0.000318,0.267,205373,0.893,0.00268,4,0.328,-3.881,1,0.0771,79.544,4,0.272,0
Kings of Leon,The Face,0.00594,0.401,208187,0.698,0.082,9,0.077,-5.0,1,0.0376,143.421,4,0.321,0
Kings of Leon,The Immortals,0.00484,0.347,208933,0.832,1.68e-05,4,0.103,-4.811,1,0.0807,126.693,4,0.384,0
Kings of Leon,Back Down South,0.0634,0.476,241227,0.619,0.00075,0,0.258,-7.221,1,0.0398,117.113,4,0.154,0
Kings of Leon,Beach Side,0.0428,0.488,170960,0.749,0.000845,1,0.105,-5.73,0,0.03,170.69,4,0.48,0
Kings of Leon,No Money,0.0013,0.413,185880,0.933,0.0153,1,0.0953,-5.208,0,0.0581,76.999,4,0.267,0
Kings of Leon,Pony Up,0.000808,0.309,184627,0.879,0.115,11,0.0719,-5.296,0,0.0594,79.171,5,0.735,0
Kings of Leon,Birthday,0.00568,0.573,195427,0.729,0.00728,11,0.396,-6.217,0,0.0415,119.232,4,0.665,0
Kings of Leon,Mi Amigo,0.0818,0.587,246800,0.625,0.0146,2,0.147,-8.322,1,0.0356,71.391,4,0.593,0
Kings of Leon,Pickup Truck,0.351,0.459,284600,0.624,6.75e-05,0,0.111,-6.462,1,0.0488,154.703,4,0.352,0
Kings of Leon,Celebration,0.000777,0.236,313533,0.661,0.00353,2,0.102,-7.167,1,0.0591,121.556,4,0.336,0
Kings of Leon,Radioactive - Remix featuring the West Angeles Mass Choir,0.0128,0.298,208373,0.932,3.22e-05,5,0.108,-3.996,1,0.0728,126.574,4,0.266,0
Kings of Leon,Closer - Presets Remix,0.322,0.405,291253,0.253,0.0758,11,0.121,-10.494,0,0.0361,105.105,5,0.12,0
Kings of Leon,Closer,0.469,0.398,237480,0.768,2.02e-05,11,0.106,-4.624,0,0.0392,108.685,5,0.235,0
Kings of Leon,Crawl,0.000153,0.334,246413,0.875,0.000494,4,0.413,-3.798,0,0.0751,169.426,4,0.322,0
Kings of Leon,Sex on Fire,0.00172,0.542,203347,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374,0
Kings of Leon,Use Somebody,0.00552,0.276,230760,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173,0
Kings of Leon,Manhattan,0.0154,0.497,204227,0.802,0.000219,9,0.0775,-5.807,1,0.0404,112.287,4,0.402,0
Kings of Leon,Revelry,0.196,0.437,201733,0.748,0.000328,4,0.158,-6.593,1,0.0689,149.834,4,0.383,0
Kings of Leon,17,0.0127,0.41,185373,0.876,3.64e-05,7,0.241,-3.723,1,0.0471,121.115,4,0.609,0
Kings of Leon,Notion,0.00597,0.433,180840,0.887,2.87e-05,4,0.119,-5.111,1,0.047,142.968,4,0.426,0
Kings of Leon,I Want You,0.115,0.705,307453,0.643,0.000763,7,0.111,-6.556,1,0.0276,99.198,4,0.384,0
Kings of Leon,Be Somebody,0.0274,0.487,227147,0.835,0.00754,2,0.211,-6.44,1,0.0588,133.907,4,0.311,0
Kings of Leon,Cold Desert,0.376,0.339,334707,0.448,0.00766,2,0.11,-8.081,1,0.0295,57.902,4,0.164,0
The Rolling Stones,Come On - Saturday Club / 1963,0.0134,0.416,122987,0.625,1.67e-05,0,0.127,-10.332,1,0.0487,170.06,4,0.819,0
The Rolling Stones,(I Can't Get No) Satisfaction - Saturday Club / 1965,0.00103,0.648,226880,0.725,0.665,2,0.0699,-8.228,1,0.028,136.718,4,0.79,0
The Rolling Stones,Roll Over Beethoven - Saturday Club / 1963,0.227,0.459,139427,0.735,0,5,0.318,-10.678,1,0.0403,195.78,4,0.95,0
