acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
0.0445,0.351,242625,0.877,0.0316,2,0.042,-3.133,1,0.0879,166.168,4,0.247,0
0.178,0.72,211818,0.82,0.00397,7,0.248,-4.494,1,0.063,128.274,4,0.927,0
0.0154,0.529,260114,0.783,0.0326,9,0.0705,-4.299,1,0.0349,184.062,4,0.876,0
0.0879,0.448,252000,0.758,0.00193,3,0.322,-3.064,1,0.0429,137.175,4,0.689,0
0.00514,0.639,263636,0.891,0.615,11,0.164,-3.662,0,0.0476,131.864,4,0.653,0
0.141,0.449,356400,0.901,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696,0
0.0326,0.445,273600,0.955,0.284,8,0.317,-8.027,1,0.0856,123.343,4,0.336,0
0.0214,0.274,406307,0.949,0.00778,11,0.218,-8.642,1,0.0896,100.346,4,0.497,0
0.0203,0.217,537507,0.628,0.32,11,0.143,-9.286,1,0.0306,77.785,4,0.274,0
0.0204,0.486,336000,0.744,0.00298,6,0.112,-7.176,1,0.0404,132.446,4,0.362,0
0.00295,0.443,284800,0.631,0.00324,8,0.106,-8.568,0,0.0326,124.212,4,0.262,0
0.736,0.463,356293,0.266,0.00028,6,0.152,-14.307,1,0.0315,120.316,4,0.368,0
0.0959,0.338,462093,0.787,0.0544,10,0.317,-8.794,0,0.0791,140.046,4,0.38,0
0.00836,0.351,343640,0.984,0.426,1,0.342,-5.658,1,0.124,150.833,4,0.322,0
0.013,0.279,183973,0.798,0.119,11,0.118,-8.69,1,0.0686,144.988,4,0.337,0
0.161,0.735,335413,0.625,0.000871,1,0.0492,-6.125,1,0.0277,115.969,4,0.409,0
1.01e-05,0.374,250320,0.901,0.00234,8,0.31,-4.465,1,0.072,79.996,4,0.415,0
0.000349,0.555,357080,0.627,0.000142,7,0.186,-13.845,1,0.027,126.595,4,0.592,0
0.0137,0.521,335707,0.502,0.00197,6,0.105,-11.245,1,0.0402,133.063,4,0.441,0
0.386,0.424,301400,0.568,0.0152,8,0.0562,-11.334,1,0.0447,108.01,4,0.444,0
0.388,0.307,266960,0.433,9.08e-05,1,0.332,-10.057,1,0.029,160.9,4,0.224,0
0.172,0.39,299760,0.649,0,2,0.216,-5.163,1,0.0345,121.16,4,0.144,0
0.00298,0.38,274133,0.76,0.0294,9,0.104,-10.961,1,0.0378,99.437,4,0.491,0
0.0114,0.653,220400,0.73,1.03e-05,5,0.0754,-10.613,1,0.043,108.705,4,0.894,0
0.0906,0.341,316693,0.867,0,6,0.122,-3.856,0,0.0402,162.258,3,0.42,0
0.000314,0.438,307750,0.876,0.014,9,0.392,-3.676,1,0.0308,105.822,3,0.437,0
0.0134,0.431,235360,0.751,4.45e-06,0,0.126,-5.124,1,0.0423,171.848,4,0.777,0
0.005,0.517,214333,0.89,1.47e-05,9,0.0824,-4.033,1,0.0539,118.009,4,0.632,0
0.417,0.537,265773,0.978,1.56e-05,4,0.0374,-2.921,0,0.0442,126.343,4,0.931,0
0.001,0.219,185133,0.928,2.43e-06,11,0.341,-9.997,0,0.0697,197.462,4,0.446,0
0.00776,0.41,367293,0.936,0.000367,9,0.715,-5.451,1,0.0887,98.409,4,0.351,0
5.94e-05,0.364,201547,0.948,0.0214,8,0.261,-3.904,0,0.0563,149.981,4,0.476,0
0.00827,0.363,304027,0.708,1.15e-05,1,0.0679,-6.621,0,0.0381,100.06,4,0.164,0
0.0118,0.388,298253,0.449,0.845,2,0.227,-6.712,1,0.0349,121.957,4,0.0739,0
7.5e-06,0.438,302453,0.733,0.578,4,0.156,-5.319,1,0.0311,131.363,4,0.503,0
0.609,0.515,302440,0.518,0,2,0.125,-11.062,1,0.0298,120.994,4,0.358,0
5.96e-05,0.412,250547,0.882,0.00031,11,0.0805,-5.54,0,0.0369,158.066,4,0.356,0
0.000917,0.433,269373,0.959,0,9,0.028,-4.04,1,0.0431,172.984,4,0.365,0
0.000769,0.366,255627,0.94,9.42e-05,1,0.188,-5.119,0,0.0696,130.198,4,0.369,0
0.000799,0.358,244573,0.549,0.00503,11,0.22,-7.843,0,0.0693,130.733,4,0.533,0
1.83e-05,0.465,235293,0.919,2.07e-05,4,0.262,-4.025,1,0.0408,135.997,4,0.537,0
3.4e-05,0.359,323373,0.893,0.0955,4,0.751,-8.036,0,0.0665,136.115,4,0.185,0
0.000231,0.583,262733,0.586,0.000633,5,0.494,-5.683,1,0.0518,167.798,4,0.622,0
6.2e-05,0.374,260027,0.927,0.000177,4,0.0575,-4.212,1,0.0652,154.047,4,0.301,0
3.62e-05,0.231,255960,0.866,0.000552,9,0.29,-5.131,1,0.0517,138.311,4,0.191,0
1.83e-05,0.399,231480,0.953,2.53e-05,4,0.149,-4.276,1,0.0752,174.216,4,0.555,0
1.12e-05,0.404,245551,0.859,0.424,2,0.115,-6.729,1,0.0388,78.965,4,0.464,0
0.0941,0.552,240953,0.685,0.856,4,0.123,-8.095,1,0.0271,97.287,4,0.487,0
6.58e-05,0.281,202841,0.578,0.771,7,0.327,-11.819,1,0.0357,186.259,4,0.404,0
